Timestamp,Filename,Origin (Easting[m],Northing[m],Height[m]),Direction (Easting,Roll(X)[deg],Pitch(Y)[deg],Yaw(Z)[deg],Omega[deg],Phi[deg],Kappa[deg]
399332933.050483,240509_233535418.jpg,486489.687,7039185.627,412.763,-0.371291207,-2.398374342,4.757052211,111.885161049,176.482802081,3.993766229,-111.861853862
399332933.525384,240509_233535894.jpg,486493.172,7039176.043,413.431,-0.342586647,-2.000037393,4.64122887,110.113033298,176.332792998,3.469465588,-110.082745077
399332934.000284,240509_233536370.jpg,486496.37,7039166.355,414.107,-0.318581464,-1.604672398,5.050717837,108.661205966,175.731587504,3.131560675,-108.615017838
399332934.464884,240509_233536835.jpg,486499.297,7039156.766,414.771,-0.301434629,-1.265966908,4.661635098,107.612363466,175.943675894,2.612888983,-107.571148912
399332934.929485,240509_233537301.jpg,486502.052,7039147.137,415.42,-0.290284967,-1.047872611,4.923478933,106.94749618,175.599741661,2.433138755,-106.898861955
399332935.394085,240509_233537766.jpg,486504.715,7039137.478,416.085,-0.283406937,-0.633476969,4.923747319,106.534264617,175.464469078,2.004257005,-106.481958712
399332935.858685,240509_233538232.jpg,486507.302,7039127.807,416.756,-0.284735465,-0.655865194,4.967942561,106.61515606,175.43133766,2.044688823,-106.561869664
399332936.323285,240509_233538697.jpg,486509.931,7039118.15,417.42,-0.287784758,-0.389654294,4.728897648,106.792229943,175.589807147,1.735190974,-106.741360363
399332936.787886,240509_233539163.jpg,486512.586,7039108.528,418.079,-0.289259579,0.134182221,4.432761297,106.873670774,175.72397587,1.154638988,-106.825275132
399332937.252486,240509_233539628.jpg,486515.232,7039098.953,418.747,-0.288551548,0.451163641,4.676913589,106.837015284,175.398161269,0.919010764,-106.781587371
399332937.717086,240509_233540094.jpg,486517.861,7039089.413,419.413,-0.287947323,0.832412334,4.743801942,106.802374741,175.22381263,0.570571434,-106.744049214
399332938.192587,240509_233540570.jpg,486520.539,7039079.693,420.101,-0.288760543,1.202812413,4.694803351,106.850021247,175.164193224,0.205957465,-106.791993997
399332938.668087,240509_233541047.jpg,486523.224,7039070.038,420.791,-0.290242466,1.855535905,4.691541423,106.93901956,174.978189911,-0.4117921,-106.881085938
399332939.143587,240509_233541523.jpg,486525.891,7039060.456,421.492,-0.292656038,2.034617111,5.085340103,107.094531347,174.548696658,-0.454156469,-107.025833059
399332965.638903,240509_233608071.jpg,486933.724,7039061.691,437.839,-0.897663681,-1.533763394,4.603010164,-154.288695931,-176.617024836,3.473243939,154.124298761
399332966.190804,240509_233608624.jpg,486942.715,7039065.631,438.491,-0.910283371,-1.49777405,4.7652803,-156.04572252,-176.691635651,3.737845128,155.875259132
399332966.742704,240509_233609177.jpg,486951.776,7039069.267,439.151,-0.922411623,-1.610626675,4.577243993,-157.788960436,-176.774022128,3.620064033,157.622475609
399332967.294604,240509_233609730.jpg,486960.892,7039072.605,439.803,-0.932010153,-1.824945761,4.600448953,-159.302902012,-176.661960652,3.649286519,159.123099862
399332967.857405,240509_233610294.jpg,486970.227,7039075.791,440.457,-0.940032139,-1.493580984,4.509599732,-160.62968388,-177.090572037,3.750781059,160.475450652
